GK,work_rate_att,special,overall,potential,pac,sho,pas,dri,def,phy,international_reputation,skill_moves,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_reflexes,Attack,Mid,Def,gk,eur_value
0,3,2228,94,94,90,93,82,90,33,80,5,5,85,94,88,83,88,91,81,76,77,93,89,91,89,96,63,94,95,92,80,92,63,29,95,85,85,95,22,31,23,7,11,11,91.375,86.375,59.9,0,955
0,2,2158,93,93,89,90,86,96,26,61,5,4,77,95,71,88,85,97,89,90,87,95,92,87,90,95,95,85,68,73,59,88,48,22,93,90,78,96,13,28,26,6,11,8,90.25,88.5,55,0,1050
0,3,2100,92,94,92,84,79,95,30,60,5,5,75,89,62,81,83,96,81,84,75,95,94,90,96,88,82,80,61,78,53,77,56,36,90,80,81,92,21,24,33,9,9,11,86.75,84.375,56.1,0,1230
0,3,2291,92,92,82,90,79,87,42,81,5,4,77,94,77,83,88,86,86,84,64,91,88,77,86,93,60,87,69,89,80,86,78,41,92,84,85,83,30,45,38,27,25,37,87.75,83.875,63.3,0,970
1,2,1493,92,92,91,90,95,89,60,91,5,1,15,13,25,55,11,30,14,11,59,48,58,61,52,85,35,25,78,44,83,16,29,30,12,70,47,70,10,10,11,91,90,89,0,0,0,92,610
0,3,2146,91,91,81,88,75,86,38,82,4,3,62,91,85,83,87,85,77,84,65,89,79,83,78,91,80,88,84,79,84,83,80,39,91,78,84,87,25,42,19,15,6,10,86.625,81.25,59.5,0,920
1,2,1458,90,92,90,85,87,90,58,86,4,1,17,13,21,50,13,18,21,19,51,42,57,58,60,88,43,31,67,40,64,12,38,30,12,68,40,64,13,21,13,90,85,90,0,0,0,90,645
0,3,2096,90,91,90,82,84,92,32,66,4,4,80,83,57,86,79,93,82,79,81,92,93,87,93,85,91,79,59,79,65,82,54,41,85,86,86,87,25,27,22,11,12,8,85.375,85.125,57,0,905
0,2,2165,90,90,56,81,89,81,73,70,4,3,85,76,54,90,82,79,85,84,93,89,60,52,71,86,69,87,32,77,74,90,60,85,79,88,73,85,63,82,69,10,11,10,79.25,84,77,0,790
0,3,1961,90,90,79,87,70,83,25,74,4,3,68,91,86,75,88,84,74,62,59,85,78,80,75,88,69,88,79,72,85,82,50,20,92,70,70,86,12,22,18,5,12,10,84.625,76.75,50.6,0,770
